id;wa_phone_number;name;phone_number;location_lat;location_lon;address;distance_from_business_km;is_pincode_valid;role;joined_at;last_interaction_at
1;pertain before;insolence bare;until;6430.6;25074.31;meaty poor;27932.36;true;DEVELOPER;2025-12-14T22:49:22;2025-12-15T12:43:06
2;to rudely;brr soon;hovel;10485.24;23263.84;ha or buzzing;30247.59;false;DELIVERY_PERSON;2025-12-15T05:51:17;2025-12-14T14:18:29
3;quicker brr;forgather;but;6447.9;29688.92;quaff;23072.35;false;DELIVERY_PERSON;2025-12-15T07:29:38;2025-12-14T16:47:11
4;enthusiastically;transom;beyond;25555.67;22238.3;as essence;29641.28;false;ASSISTANT_ADMIN;2025-12-14T17:26:32;2025-12-14T18:56:42
5;surge inwardly meanwhile;so;which repeatedly;13794.05;21001.32;for wilted yuck;29193.55;false;ADMIN;2025-12-14T18:38:21;2025-12-15T02:44:46
6;busily table;afore readmit;after unique cannibalise;29373.69;27908;slipper;10185.05;true;DELIVERY_PERSON;2025-12-15T07:34:53;2025-12-15T10:10:50
7;swiftly ultimately;vibrant cafe;euphonium whoa;21296.23;12765.46;long-term;24352.05;true;EXECUTIVE;2025-12-14T22:07:07;2025-12-14T19:24:54
8;since whereas yippee;phooey if;unnecessarily kookily;6331.16;2139.1;hoot insidious pfft;2573.89;false;EXECUTIVE;2025-12-14T23:30:53;2025-12-15T10:44:52
9;hospitable dusk;since barring barring;scarily outlying cleverly;14051.55;12942.55;massage far freight;8217.61;false;EXECUTIVE;2025-12-15T00:11:57;2025-12-15T02:35:43
10;gripping furthermore;consequently yowza in;abnormally;15483.12;3756.28;abnormally jovially;21052.27;true;CUSTOMER;2025-12-15T13:13:30;2025-12-15T00:56:47
