id;name;wa_phone_number;phone_number;status;joined_at;is_active;zone_id
1;license;presell classic;jaggedly;FREE;2025-12-28T04:22:52;true;1
2;nicely satirise;boldly ripe team;unless;BUSY;2025-12-27T16:28:14;false;2
3;as unfreeze;pish wonderfully;at;OFF_DUTY;2025-12-28T07:52:41;true;3
4;pace;factorise;impanel;OFF_DUTY;2025-12-28T03:03:40;false;4
5;who pecan meh;ah;oh loosely opposite;OFF_DUTY;2025-12-28T04:14:56;true;5
6;inquisitively optimal but;yet boohoo;and;FREE;2025-12-28T07:15:09;true;6
7;irritably er boohoo;geez amused role;spew;OFF_DUTY;2025-12-27T17:00:51;true;7
8;lest despite;duh only forenenst;sternly smug;OFF_DUTY;2025-12-27T18:31:34;true;8
9;sour fooey superior;plugin up apropos;lest;OFF_DUTY;2025-12-28T04:48:03;false;9
10;whoa;freight weekly;fortunately notarize phooey;FREE;2025-12-27T19:16:01;true;10
