id;original_id;name;role;whatsapp_number;phone_number;address;location_lat;location_lon;joined_at;removed_at;reason_for_removal;last_session_data;status;order_history_id;distance_from_business_km;is_pincode_valid
1;12401;frightfully;ADMIN;leading regarding;among opera;consequently;11799.01;20649.9;2025-12-28T01:10:14;2025-12-28T03:31:38;next mid the;../fake-data/blob/hipster.txt;ACCOUNT_REMOVED;175;20453.36;false
2;12416;pish offensively inculcate;DEVELOPER;who;whirlwind eggplant despite;jet bravely electrify;333.35;20137.48;2025-12-28T05:15:21;2025-12-28T04:05:23;upward outrun frankly;../fake-data/blob/hipster.txt;RESTORE_ACCOUNT;948;15059.14;false
3;28423;harangue but;ASSISTANT_ADMIN;hunt overconfidently;formal than;afore yarmulke prance;31729.52;21539.18;2025-12-27T12:32:43;2025-12-27T10:17:08;over;../fake-data/blob/hipster.txt;ACCOUNT_REMOVED;14140;12105.29;false
4;9080;fooey amongst carp;CUSTOMER;meager cop;drat solvency putrid;intellect;241.39;17862.84;2025-12-27T08:52:24;2025-12-28T03:07:33;minus;../fake-data/blob/hipster.txt;RESTORE_ACCOUNT;24669;24666.66;false
5;30765;ick;DELIVERY_PERSON;nudge bleakly blah;for;even although;5963.1;19152.6;2025-12-27T10:07:37;2025-12-28T04:54:39;but rout;../fake-data/blob/hipster.txt;RESTORE_ACCOUNT;15759;13972.22;false
6;27286;extremely;EXECUTIVE;toward;slight since below;unlike aha carelessly;17020.26;10382.94;2025-12-27T19:30:38;2025-12-27T15:17:55;boohoo aggressive;../fake-data/blob/hipster.txt;ACCOUNT_REMOVED;24214;13104.46;true
7;8923;until pfft;ASSISTANT_ADMIN;and;during;practical;19598.84;9371.65;2025-12-27T18:11:08;2025-12-28T00:05:12;er;../fake-data/blob/hipster.txt;RESTORE_ACCOUNT;9827;18099.26;true
8;24120;edible mammoth;EXECUTIVE;formula supposing gadzooks;next ah;wriggler;21601.56;18189.87;2025-12-27T22:23:18;2025-12-28T03:02:51;viability;../fake-data/blob/hipster.txt;RESTORE_ACCOUNT;16093;17497.59;false
9;15787;wildly;DELIVERY_PERSON;hopelessly baggy;aw utilization;unripe glisten thump;16151.22;24826.33;2025-12-27T14:10:17;2025-12-28T05:08:34;once or;../fake-data/blob/hipster.txt;ACCOUNT_REMOVED;5286;22398.98;false
10;27009;out bewail yet;EXECUTIVE;unlike;for supplier innocently;tool programme;14672.25;19181.27;2025-12-28T04:46:33;2025-12-28T05:40:15;exalt;../fake-data/blob/hipster.txt;RESTORE_ACCOUNT;29784;30102.18;true
