id;name;wa_phone_number;phone_number;role;is_active
1;impassioned;nor;fairly in phooey;ASSISTANT_ADMIN;false
2;nor;down sandbar;stained hm fork;CUSTOMER;true
3;thrifty;consequently;braid;CUSTOMER;true
4;um coop boohoo;duffel;essence aside lasting;EXECUTIVE;true
5;loosely;sans an sermon;between bank equally;ASSISTANT_ADMIN;false
6;whose season ordinary;decision;gadzooks incidentally;ADMIN;true
7;hot accompanist obstruct;ew;notwithstanding cheerfully;ADMIN;true
8;besides over;boohoo between while;uh-huh properly;DEVELOPER;false
9;gracefully jittery times;monthly;whoever gah;CUSTOMER;true
10;apropos;ameliorate frankly;section;EXECUTIVE;false
